experiment	tag	kernel_type	throughput_tflops	latency_us	pct_peak	speedup_vs_pytorch	correctness	peak_vram_mb	description
0	gemm1-baseline	gemm	4.508	4287.12	53.9	0.451	FAIL	468.1	baseline: BLOCK_SIZE_M=64,N=64,K=32 no tf32
1	gemm1-tiles128	gemm	7.509	2574.06	89.8	0.760	FAIL	468.1	increase tile to 128x128: +66% TFLOPS
2	gemm1-tf32	gemm	5.956	3245.23	71.2	0.576	FAIL	468.1	allow_tf32=True: REVERT worse perf and more failures
3	gemm1-stages3	gemm	7.479	2584.22	89.5	0.753	FAIL	468.1	num_stages=3: REVERT no improvement on Orin
4	gemm1-k64	gemm	7.798	2478.50	93.3	0.792	FAIL	468.1	BLOCK_SIZE_K=64: +3.9% fewer K-loop iterations
5	gemm1-swizzle	gemm	8.744	2210.30	104.6	0.852	FAIL	468.1	L2 swizzle GROUP_SIZE_M=8: +12% better cache reuse
6	gemm1-warps4	gemm	8.701	2221.60	104.1	0.867	FAIL	468.1	num_warps=4: REVERT no improvement
7	gemm1-warps8	gemm	6.439	2993.61	77.0	0.651	FAIL	468.1	num_warps=8: REVERT register pressure
8	gemm1-rect64x256	gemm	7.507	2577.0	89.8	0.730	FAIL	468.1	64x256 rect tile: REVERT worse than 128x128
9	gemm1-group4	gemm	8.507	2270.0	101.8	0.829	FAIL	468.1	GROUP_SIZE_M=4: REVERT slightly worse
10	gemm1-stages2	gemm	6.313	3060.0	75.5	0.605	FAIL	468.1	num_stages=2: REVERT worse on Orin
11	gemm2-baseline	gemm	4.567	4232.23	54.6	0.497	FAIL	468.1	gemm2 baseline: M=4096 N=768 K=3072 MLP down-proj
12	gemm2-combo	gemm	7.010	2761.0	83.8	0.918	FAIL	468.1	apply gemm1 winning combo to gemm2: +53%
13	gemm2-n64	gemm	5.984	3227.0	71.6	0.654	FAIL	468.1	BLOCK_SIZE_N=64: REVERT worse
14	gemm2-k128	gemm	5.906	3265.0	70.6	0.784	FAIL	468.1	BLOCK_SIZE_K=128: REVERT shared mem pressure
15	gemm2-group4	gemm	8.574	2254.0	102.6	1.184	FAIL	468.1	GROUP_SIZE_M=4: +22% now 1.18x pytorch!
16	gemm2-group6	gemm	7.295	2648.0	87.3	0.956	FAIL	468.1	GROUP_SIZE_M=6: REVERT worse
17	gemm2-group2	gemm	7.986	2411.0	95.5	1.067	FAIL	468.1	GROUP_SIZE_M=2: REVERT slightly worse
18	gemm2-m64	gemm	6.312	3060.0	75.5	0.690	FAIL	468.1	BLOCK_SIZE_M=64: REVERT worse
19	gemm2-warps4	gemm	9.095	2127.0	108.8	0.995	FAIL	468.1	num_warps=4 with GROUP_SIZE_M=4: +6% close to cuBLAS
